message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,payment,A trusted business update is useful but does not require an interruption.,0.76,message_0243;message_0101;message_0102
msg_091,mute,scam,The message requests credentials or uses a coercive account-security claim.,0.97,message_0238;message_0381
msg_090,digest,personal,"This personal message is safe and useful, but can wait for a digest.",0.69,none
msg_048,mute,payment,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0151;message_0099;message_0152
msg_040,mute,greeting,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0135;message_0136;message_0259
msg_075,notify,event,A trusted health or appointment update needs attention before its scheduled time.,0.84,message_0205;message_0206
msg_005,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0065;message_0390;message_0049
msg_104,mute,personal,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0383;message_0232;message_0224
msg_069,mute,greeting,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0080;message_0177;message_0193
msg_107,mute,scam,The message requests credentials or uses a coercive account-security claim.,0.97,message_0213;message_0235;message_0056
msg_070,mute,scam,The message requests credentials or uses a coercive account-security claim.,0.97,message_0369;message_0213;message_0199
msg_003,notify,business_update,A trusted business sent a time-sensitive update tied to the user's relationship.,0.84,message_0400;message_0031;message_0061
msg_099,notify,urgent,A personal sender indicates a time-sensitive request or deadline.,0.83,message_0227;message_0055;message_0228
msg_008,digest,business_update,A trusted business update is useful but does not require an interruption.,0.76,message_0296;message_0072;message_0071
msg_092,digest,payment,This business message appears legitimate but can be reviewed later.,0.62,none
msg_060,digest,promotion,This group message may be useful later but is not interrupt-worthy.,0.66,message_0284;message_0176;message_0375
msg_004,notify,event,A trusted health or appointment update needs attention before its scheduled time.,0.84,message_0245;message_0005;message_0246
msg_030,mute,promotion,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0115;message_0335;message_0050
msg_045,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0146;message_0145
msg_052,mute,payment,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0207;message_0208;message_0159
msg_009,mute,unknown,The user muted this group and the message has no direct or urgent exception.,0.82,message_0074;message_0073
msg_071,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0197;message_0198
msg_016,mute,forward,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0024;message_0202;message_0184
msg_065,digest,promotion,A known business sent an optional promotion that can wait for a digest.,0.73,message_0261;message_0260;message_0185
msg_038,mute,forward,"This is a heavily forwarded, low-accountability message that can be suppressed.",0.87,message_0131;message_0132
msg_086,digest,business_update,This business message appears legitimate but can be reviewed later.,0.62,message_0222
msg_014,mute,promotion,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0258;message_0018;message_0017
msg_094,mute,promotion,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0356;message_0048;message_0357
msg_029,digest,promotion,This group message may be useful later but is not interrupt-worthy.,0.66,message_0095;message_0113;message_0332
msg_105,mute,forward,"This is a heavily forwarded, low-accountability message that can be suppressed.",0.87,message_0373;message_0233;message_0122
msg_002,notify,urgent,A direct mention creates an immediate dependency for the user.,0.88,message_0003;message_0059;message_0169
msg_010,digest,business_update,A trusted business update is useful but does not require an interruption.,0.76,message_0011;message_0242;message_0075
msg_078,mute,forward,"This is a heavily forwarded, low-accountability message that can be suppressed.",0.87,message_0211;message_0212
msg_013,mute,promotion,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0082;message_0081
msg_018,mute,forward,"This is a heavily forwarded, low-accountability message that can be suppressed.",0.87,message_0026;message_0091;message_0092
msg_044,mute,scam,The message requests credentials or uses a coercive account-security claim.,0.97,message_0143;message_0144;message_0036
msg_032,digest,personal,This group message may be useful later but is not interrupt-worthy.,0.66,message_0119;message_0285;message_0374
msg_106,notify,urgent,A personal sender indicates a time-sensitive request or deadline.,0.83,message_0376;message_0234;message_0377
msg_006,notify,event,A group operational update is relevant to the user's near-term plans.,0.84,message_0029;message_0044;message_0097
msg_109,mute,payment,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0151;message_0099;message_0152
msg_108,mute,scam,The message requests credentials or uses a coercive account-security claim.,0.97,message_0093;message_0094;message_0236
msg_019,mute,payment,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0277;message_0094;message_0093
msg_088,mute,unknown,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0025;message_0224;message_0232
msg_056,digest,event,This group message may be useful later but is not interrupt-worthy.,0.66,message_0168;message_0359;message_0013
msg_027,digest,promotion,A known business sent an optional promotion that can wait for a digest.,0.73,message_0272;message_0033;message_0007
